2022-07-28 18:18:23 ERROR [12872:main.c:23] hello, sys --error
2022-07-28 18:18:23 PANIC [12872:main.c:24] hello, sys --panic
2022-07-28 18:18:24 INFO [12875:main.c:20] hello, sys --info
2022-07-28 18:18:24 DEBUG [12875:main.c:21] hello, sys --debug
2022-07-28 18:18:24 WARN [12875:main.c:22] hello, sys --warn
2022-07-28 18:18:24 ERROR [12875:main.c:23] hello, sys --error
2022-07-28 18:18:24 PANIC [12875:main.c:24] hello, sys --panic
2022-07-28 18:18:25 INFO [12878:main.c:20] hello, sys --info
2022-07-28 18:18:25 DEBUG [12878:main.c:21] hello, sys --debug
2022-07-28 18:18:25 WARN [12878:main.c:22] hello, sys --warn
2022-07-28 18:18:25 ERROR [12878:main.c:23] hello, sys --error
2022-07-28 18:18:25 PANIC [12878:main.c:24] hello, sys --panic
2022-07-28 18:18:26 INFO [12881:main.c:20] hello, sys --info
2022-07-28 18:18:26 DEBUG [12881:main.c:21] hello, sys --debug
2022-07-28 18:18:26 WARN [12881:main.c:22] hello, sys --warn
2022-07-28 18:18:26 ERROR [12881:main.c:23] hello, sys --error
2022-07-28 18:18:26 PANIC [12881:main.c:24] hello, sys --panic
2022-07-28 18:18:27 INFO [12884:main.c:20] hello, sys --info
2022-07-28 18:18:27 DEBUG [12884:main.c:21] hello, sys --debug
2022-07-28 18:18:27 WARN [12884:main.c:22] hello, sys --warn
2022-07-28 18:18:27 ERROR [12884:main.c:23] hello, sys --error
2022-07-28 18:18:27 PANIC [12884:main.c:24] hello, sys --panic
2022-07-28 18:18:28 INFO [12887:main.c:20] hello, sys --info
2022-07-28 18:18:28 DEBUG [12887:main.c:21] hello, sys --debug
2022-07-28 18:18:28 WARN [12887:main.c:22] hello, sys --warn
2022-07-28 18:18:28 ERROR [12887:main.c:23] hello, sys --error
2022-07-28 18:18:28 PANIC [12887:main.c:24] hello, sys --panic
2022-07-28 18:18:29 INFO [12890:main.c:20] hello, sys --info
2022-07-28 18:18:29 DEBUG [12890:main.c:21] hello, sys --debug
2022-07-28 18:18:29 WARN [12890:main.c:22] hello, sys --warn
2022-07-28 18:18:29 ERROR [12890:main.c:23] hello, sys --error
2022-07-28 18:18:29 PANIC [12890:main.c:24] hello, sys --panic
2022-07-28 18:18:30 INFO [12893:main.c:20] hello, sys --info
2022-07-28 18:18:30 DEBUG [12893:main.c:21] hello, sys --debug
2022-07-28 18:18:30 WARN [12893:main.c:22] hello, sys --warn
2022-07-28 18:18:30 ERROR [12893:main.c:23] hello, sys --error
2022-07-28 18:18:30 PANIC [12893:main.c:24] hello, sys --panic
2022-07-28 18:18:31 INFO [12896:main.c:20] hello, sys --info
2022-07-28 18:18:31 DEBUG [12896:main.c:21] hello, sys --debug
2022-07-28 18:18:31 WARN [12896:main.c:22] hello, sys --warn
2022-07-28 18:18:31 ERROR [12896:main.c:23] hello, sys --error
2022-07-28 18:18:31 PANIC [12896:main.c:24] hello, sys --panic
2022-07-28 18:18:32 INFO [12899:main.c:20] hello, sys --info
2022-07-28 18:18:32 DEBUG [12899:main.c:21] hello, sys --debug
2022-07-28 18:18:32 WARN [12899:main.c:22] hello, sys --warn
2022-07-28 18:18:32 ERROR [12899:main.c:23] hello, sys --error
2022-07-28 18:18:32 PANIC [12899:main.c:24] hello, sys --panic
2022-07-28 18:18:33 INFO [12902:main.c:20] hello, sys --info
2022-07-28 18:18:33 DEBUG [12902:main.c:21] hello, sys --debug
2022-07-28 18:18:33 WARN [12902:main.c:22] hello, sys --warn
2022-07-28 18:18:33 ERROR [12902:main.c:23] hello, sys --error
2022-07-28 18:18:33 PANIC [12902:main.c:24] hello, sys --panic
2022-07-28 18:18:34 INFO [12905:main.c:20] hello, sys --info
2022-07-28 18:18:34 DEBUG [12905:main.c:21] hello, sys --debug
2022-07-28 18:18:34 WARN [12905:main.c:22] hello, sys --warn
2022-07-28 18:18:34 ERROR [12905:main.c:23] hello, sys --error
2022-07-28 18:18:34 PANIC [12905:main.c:24] hello, sys --panic
2022-07-28 18:18:35 INFO [12908:main.c:20] hello, sys --info
2022-07-28 18:18:35 DEBUG [12908:main.c:21] hello, sys --debug
2022-07-28 18:18:35 WARN [12908:main.c:22] hello, sys --warn
2022-07-28 18:18:35 ERROR [12908:main.c:23] hello, sys --error
2022-07-28 18:18:35 PANIC [12908:main.c:24] hello, sys --panic
2022-07-28 18:18:36 INFO [12911:main.c:20] hello, sys --info
2022-07-28 18:18:36 DEBUG [12911:main.c:21] hello, sys --debug
2022-07-28 18:18:36 WARN [12911:main.c:22] hello, sys --warn
2022-07-28 18:18:36 ERROR [12911:main.c:23] hello, sys --error
2022-07-28 18:18:36 PANIC [12911:main.c:24] hello, sys --panic
2022-07-28 18:18:37 INFO [12914:main.c:20] hello, sys --info
2022-07-28 18:18:37 DEBUG [12914:main.c:21] hello, sys --debug
2022-07-28 18:18:37 WARN [12914:main.c:22] hello, sys --warn
2022-07-28 18:18:37 ERROR [12914:main.c:23] hello, sys --error
2022-07-28 18:18:37 PANIC [12914:main.c:24] hello, sys --panic
2022-07-28 18:18:38 INFO [12917:main.c:20] hello, sys --info
2022-07-28 18:18:38 DEBUG [12917:main.c:21] hello, sys --debug
2022-07-28 18:18:38 WARN [12917:main.c:22] hello, sys --warn
2022-07-28 18:18:38 ERROR [12917:main.c:23] hello, sys --error
2022-07-28 18:18:38 PANIC [12917:main.c:24] hello, sys --panic
2022-07-28 18:18:39 INFO [12920:main.c:20] hello, sys --info
2022-07-28 18:18:39 DEBUG [12920:main.c:21] hello, sys --debug
2022-07-28 18:18:39 WARN [12920:main.c:22] hello, sys --warn
2022-07-28 18:18:39 ERROR [12920:main.c:23] hello, sys --error
2022-07-28 18:18:39 PANIC [12920:main.c:24] hello, sys --panic
2022-07-28 18:18:40 INFO [12923:main.c:20] hello, sys --info
2022-07-28 18:18:40 DEBUG [12923:main.c:21] hello, sys --debug
2022-07-28 18:18:40 WARN [12923:main.c:22] hello, sys --warn
2022-07-28 18:18:40 ERROR [12923:main.c:23] hello, sys --error
2022-07-28 18:18:40 PANIC [12923:main.c:24] hello, sys --panic
2022-07-28 18:18:41 INFO [12926:main.c:20] hello, sys --info
2022-07-28 18:18:41 DEBUG [12926:main.c:21] hello, sys --debug
2022-07-28 18:18:41 WARN [12926:main.c:22] hello, sys --warn
2022-07-28 18:18:41 ERROR [12926:main.c:23] hello, sys --error
2022-07-28 18:18:41 PANIC [12926:main.c:24] hello, sys --panic
2022-07-28 18:18:42 INFO [12929:main.c:20] hello, sys --info
2022-07-28 18:18:42 DEBUG [12929:main.c:21] hello, sys --debug
2022-07-28 18:18:42 WARN [12929:main.c:22] hello, sys --warn
2022-07-28 18:18:42 ERROR [12929:main.c:23] hello, sys --error
2022-07-28 18:18:42 PANIC [12929:main.c:24] hello, sys --panic
2022-07-28 18:18:43 INFO [12932:main.c:20] hello, sys --info
2022-07-28 18:18:43 DEBUG [12932:main.c:21] hello, sys --debug
2022-07-28 18:18:43 WARN [12932:main.c:22] hello, sys --warn
2022-07-28 18:18:43 ERROR [12932:main.c:23] hello, sys --error
2022-07-28 18:18:43 PANIC [12932:main.c:24] hello, sys --panic
2022-07-28 18:18:44 INFO [12935:main.c:20] hello, sys --info
2022-07-28 18:18:44 DEBUG [12935:main.c:21] hello, sys --debug
2022-07-28 18:18:44 WARN [12935:main.c:22] hello, sys --warn
2022-07-28 18:18:44 ERROR [12935:main.c:23] hello, sys --error
2022-07-28 18:18:44 PANIC [12935:main.c:24] hello, sys --panic
2022-07-28 18:18:45 INFO [12938:main.c:20] hello, sys --info
2022-07-28 18:18:45 DEBUG [12938:main.c:21] hello, sys --debug
2022-07-28 18:18:45 WARN [12938:main.c:22] hello, sys --warn
2022-07-28 18:18:45 ERROR [12938:main.c:23] hello, sys --error
2022-07-28 18:18:45 PANIC [12938:main.c:24] hello, sys --panic
2022-07-28 18:18:46 INFO [12941:main.c:20] hello, sys --info
2022-07-28 18:18:46 DEBUG [12941:main.c:21] hello, sys --debug
2022-07-28 18:18:46 WARN [12941:main.c:22] hello, sys --warn
2022-07-28 18:18:46 ERROR [12941:main.c:23] hello, sys --error
2022-07-28 18:18:46 PANIC [12941:main.c:24] hello, sys --panic
2022-07-28 18:18:47 INFO [12944:main.c:20] hello, sys --info
2022-07-28 18:18:47 DEBUG [12944:main.c:21] hello, sys --debug
2022-07-28 18:18:47 WARN [12944:main.c:22] hello, sys --warn
2022-07-28 18:18:47 ERROR [12944:main.c:23] hello, sys --error
2022-07-28 18:18:47 PANIC [12944:main.c:24] hello, sys --panic
2022-07-28 18:18:48 INFO [12947:main.c:20] hello, sys --info
2022-07-28 18:18:48 DEBUG [12947:main.c:21] hello, sys --debug
2022-07-28 18:18:48 WARN [12947:main.c:22] hello, sys --warn
2022-07-28 18:18:48 ERROR [12947:main.c:23] hello, sys --error
2022-07-28 18:18:48 PANIC [12947:main.c:24] hello, sys --panic
2022-07-28 18:18:49 INFO [12950:main.c:20] hello, sys --info
2022-07-28 18:18:49 DEBUG [12950:main.c:21] hello, sys --debug
2022-07-28 18:18:49 WARN [12950:main.c:22] hello, sys --warn
2022-07-28 18:18:49 ERROR [12950:main.c:23] hello, sys --error
2022-07-28 18:18:49 PANIC [12950:main.c:24] hello, sys --panic
2022-07-28 18:18:50 INFO [12953:main.c:20] hello, sys --info
2022-07-28 18:18:50 DEBUG [12953:main.c:21] hello, sys --debug
2022-07-28 18:18:50 WARN [12953:main.c:22] hello, sys --warn
2022-07-28 18:18:50 ERROR [12953:main.c:23] hello, sys --error
2022-07-28 18:18:50 PANIC [12953:main.c:24] hello, sys --panic
2022-07-28 18:18:51 INFO [12956:main.c:20] hello, sys --info
2022-07-28 18:18:51 DEBUG [12956:main.c:21] hello, sys --debug
2022-07-28 18:18:51 WARN [12956:main.c:22] hello, sys --warn
2022-07-28 18:18:51 ERROR [12956:main.c:23] hello, sys --error
2022-07-28 18:18:51 PANIC [12956:main.c:24] hello, sys --panic
2022-07-28 18:18:52 INFO [12959:main.c:20] hello, sys --info
2022-07-28 18:18:52 DEBUG [12959:main.c:21] hello, sys --debug
2022-07-28 18:18:52 WARN [12959:main.c:22] hello, sys --warn
2022-07-28 18:18:52 ERROR [12959:main.c:23] hello, sys --error
2022-07-28 18:18:52 PANIC [12959:main.c:24] hello, sys --panic
2022-07-28 18:18:53 INFO [12962:main.c:20] hello, sys --info
2022-07-28 18:18:53 DEBUG [12962:main.c:21] hello, sys --debug
2022-07-28 18:18:53 WARN [12962:main.c:22] hello, sys --warn
2022-07-28 18:18:53 ERROR [12962:main.c:23] hello, sys --error
2022-07-28 18:18:53 PANIC [12962:main.c:24] hello, sys --panic
2022-07-28 18:18:54 INFO [12965:main.c:20] hello, sys --info
2022-07-28 18:18:54 DEBUG [12965:main.c:21] hello, sys --debug
2022-07-28 18:18:54 WARN [12965:main.c:22] hello, sys --warn
2022-07-28 18:18:54 ERROR [12965:main.c:23] hello, sys --error
2022-07-28 18:18:54 PANIC [12965:main.c:24] hello, sys --panic
2022-07-28 18:18:55 INFO [12968:main.c:20] hello, sys --info
2022-07-28 18:18:55 DEBUG [12968:main.c:21] hello, sys --debug
2022-07-28 18:18:55 WARN [12968:main.c:22] hello, sys --warn
2022-07-28 18:18:55 ERROR [12968:main.c:23] hello, sys --error
2022-07-28 18:18:55 PANIC [12968:main.c:24] hello, sys --panic
2022-07-28 18:18:56 INFO [12971:main.c:20] hello, sys --info
2022-07-28 18:18:56 DEBUG [12971:main.c:21] hello, sys --debug
2022-07-28 18:18:56 WARN [12971:main.c:22] hello, sys --warn
2022-07-28 18:18:56 ERROR [12971:main.c:23] hello, sys --error
2022-07-28 18:18:56 PANIC [12971:main.c:24] hello, sys --panic
2022-07-28 18:18:57 INFO [12974:main.c:20] hello, sys --info
2022-07-28 18:18:57 DEBUG [12974:main.c:21] hello, sys --debug
2022-07-28 18:18:57 WARN [12974:main.c:22] hello, sys --warn
2022-07-28 18:18:57 ERROR [12974:main.c:23] hello, sys --error
2022-07-28 18:18:57 PANIC [12974:main.c:24] hello, sys --panic
